,train,val,test
587,2024-03-25-19-21-33,,
588,2024-03-25-19-25-00,,
589,2024-03-25-19-26-30,,
590,2024-03-25-19-29-32,,
591,2024-03-25-19-41-02,,
592,2024-03-25-19-43-31,,
593,2024-03-25-19-46-00,,
594,2024-03-25-19-53-50,,
595,2024-03-25-20-16-43,,
596,2024-03-25-20-30-40,,
597,2024-03-25-20-33-23,,
598,2024-03-25-20-47-26,,
599,2024-03-25-20-50-43,,
600,2024-03-25-20-51-52,,
601,2024-03-25-20-54-16,,
602,2024-03-25-22-26-58,,
603,2024-03-25-22-31-58,,
604,2024-03-25-22-34-04,,
605,2024-03-25-22-55-04,,
606,2024-03-25-23-03-05,,
607,2024-03-25-23-16-44,,
608,2024-03-25-23-19-48,,
609,2024-03-25-23-39-24,,
610,2024-03-26-01-02-38,,
611,2024-03-26-01-04-40,,
612,2024-03-26-01-11-56,,
613,2024-03-26-01-33-14,,
614,2024-03-26-01-50-02,,
615,2024-03-26-01-52-26,,
616,2024-03-26-02-23-19,,
617,2024-03-26-02-26-42,,
618,2024-03-26-03-06-31,,
619,2024-03-26-03-08-55,,
620,2024-03-26-03-12-41,,
621,2024-03-26-03-14-21,,
622,2024-03-26-03-17-32,,
623,2024-03-26-03-19-25,,
624,2024-03-26-03-44-44,,
625,2024-03-26-03-48-09,,
626,2024-03-26-04-06-30,,
627,2024-03-26-04-25-09,,
628,2024-03-26-04-27-40,,
629,2024-03-26-04-51-15,,
630,2024-03-26-04-56-05,,
631,2024-03-26-05-07-17,,
632,2024-03-26-05-10-31,,
633,2024-03-26-05-33-00,,
634,2024-03-26-05-59-00,,
635,2024-03-26-06-15-47,,
636,2024-03-26-06-19-01,,
637,2024-03-26-06-21-08,,
638,2024-03-26-06-32-04,,
639,2024-03-26-17-30-49,,
640,2024-03-21-16-30-40,,
641,2024-03-21-16-37-19,,
642,2024-03-21-16-56-11,,
643,2024-03-21-16-59-29,,
644,2024-03-21-17-12-21,,
645,2024-03-21-17-28-51,,
646,2024-03-21-17-31-56,,
647,2024-03-21-17-41-47,,
648,2024-03-21-17-45-59,,
649,2024-03-21-17-49-53,,
650,2024-03-21-18-18-55,,
651,2024-03-21-18-27-57,,
652,2024-03-21-18-46-05,,
653,2024-03-21-19-13-08,,
654,2024-03-21-19-23-10,,
655,2024-03-21-19-34-15,,
656,2024-03-21-20-02-13,,
657,2024-03-21-20-09-25,,
658,2024-03-21-20-26-31,,
659,2024-03-21-21-09-52,,
660,2024-03-21-21-20-20,,
661,2024-03-21-21-27-29,,
662,2024-03-21-21-28-35,,
663,2024-03-21-21-31-56,,
664,2024-03-21-21-35-28,,
665,2024-03-21-21-38-36,,
666,2024-03-21-21-56-58,,
667,2024-03-21-22-00-19,,
668,2024-03-21-22-03-17,,
669,2024-03-21-22-08-35,,
670,2024-03-21-22-11-04,,
671,2024-03-21-22-13-38,,
672,2024-03-21-22-17-00,,
673,2024-03-21-22-19-40,,
674,2024-03-21-22-47-08,,
675,2024-03-21-22-50-15,,
676,2024-03-21-22-52-56,,
677,2024-03-21-22-57-48,,
678,2024-03-21-23-05-38,,
679,2024-03-21-23-15-57,,
680,2024-03-21-23-18-49,,
681,2024-03-21-23-21-35,,
682,2024-03-21-23-35-36,,
683,2024-03-22-00-03-50,,
684,2024-03-22-00-30-08,,
685,2024-03-22-00-33-10,,
686,2024-03-22-00-36-20,,
687,2024-03-22-01-04-45,,
688,2024-03-22-01-08-04,,
689,2024-03-22-01-10-41,,
690,2024-03-22-01-31-31,,
691,2024-03-22-01-37-04,,
692,2024-03-22-01-40-13,,
693,2024-03-22-01-43-12,,
694,2024-03-22-01-44-21,,
695,2024-03-22-01-47-46,,
696,2024-03-22-01-51-04,,
697,2024-03-22-02-07-06,,
698,2024-03-22-02-36-03,,
699,2024-03-22-02-53-56,,
700,2024-03-22-03-09-45,,
701,2024-03-22-03-38-21,,
702,2024-03-22-03-47-32,,
703,2024-03-22-03-58-10,,
704,2024-03-22-04-01-11,,
705,2024-03-22-04-07-18,,
706,2024-03-22-04-36-13,,
707,2024-03-22-04-39-12,,
708,2024-03-22-04-40-43,,
709,2024-03-22-04-44-38,,
710,2024-03-22-04-57-23,,
711,2024-03-22-05-00-49,,
712,2024-03-22-05-19-25,,
713,2024-03-22-05-32-33,,
714,2024-03-22-05-52-59,,
715,2024-03-22-06-15-15,,
716,2024-03-22-06-34-08,,
717,2024-03-22-06-47-54,,
718,2024-03-22-06-55-04,,
719,2024-03-22-07-05-43,,
720,2024-03-22-07-19-34,,
721,2024-03-22-07-22-02,,
722,2024-03-22-07-41-36,,
723,2024-03-22-07-44-29,,
724,2024-03-22-07-47-30,,
725,2024-03-22-07-51-46,,
726,2024-03-22-07-59-23,,
727,2024-03-22-09-09-37,,
728,2024-03-22-09-15-17,,
729,2024-03-22-09-19-54,,
730,2024-03-22-10-07-06,,
731,2024-03-22-10-19-42,,
732,2024-03-22-10-23-07,,
733,2024-03-22-10-28-21,,
734,2024-03-22-10-44-46,,
735,2024-03-22-10-54-30,,
736,2024-03-22-11-06-48,,
737,2024-03-25-17-05-05,,
738,2024-03-25-17-59-50,,
739,2024-03-25-18-01-07,,
740,2024-03-25-18-03-53,,
741,2024-03-25-18-11-38,,
742,2024-03-25-18-14-26,,
743,2024-03-25-18-16-13,,
744,2024-03-25-18-19-24,,
745,2024-03-25-18-26-48,,
746,2024-03-25-18-47-23,,
747,2024-03-25-18-54-01,,
748,2024-03-25-18-57-39,,
749,2024-03-25-19-07-40,,
750,2024-03-25-19-10-53,,
751,2024-03-25-19-33-05,,
752,2024-03-25-19-37-13,,
753,2024-03-25-19-40-03,,
754,2024-03-25-20-19-40,,
755,2024-03-25-20-22-36,,
756,2024-03-25-20-43-02,,
757,2024-03-25-20-55-46,,
758,2024-03-25-21-18-09,,
759,2024-03-25-21-34-39,,
760,2024-03-25-21-38-27,,
761,2024-03-25-21-43-35,,
762,2024-03-25-22-06-39,,
763,2024-03-25-22-09-48,,
764,2024-03-25-22-18-19,,
765,2024-03-25-22-38-17,,
766,2024-03-25-22-41-40,,
767,2024-03-25-22-43-57,,
768,2024-03-25-22-46-55,,
769,2024-03-25-22-48-03,,
770,2024-03-25-23-10-07,,
771,2024-03-25-23-14-08,,
772,2024-03-25-23-31-42,,
773,2024-03-25-23-46-15,,
774,2024-03-25-23-56-40,,
775,2024-03-26-00-00-17,,
776,2024-03-26-00-23-01,,
777,2024-03-26-00-25-58,,
778,2024-03-26-00-35-58,,
779,2024-03-26-00-50-57,,
780,2024-03-26-00-56-26,,
781,2024-03-26-01-08-21,,
782,2024-03-26-01-27-38,,
783,2024-03-26-01-42-22,,
784,2024-03-26-02-06-12,,
785,2024-03-26-02-12-21,,
786,2024-03-26-02-39-16,,
787,2024-03-26-02-45-14,,
788,2024-03-26-03-57-05,,
789,2024-03-26-04-15-21,,
790,2024-03-26-04-21-00,,
791,2024-03-26-04-23-49,,
792,2024-03-26-04-46-47,,
793,2024-03-26-04-59-49,,
794,2024-03-26-05-55-56,,
795,2024-03-26-06-01-38,,
796,2024-03-26-06-04-13,,
797,2024-03-26-06-06-59,,
798,2024-03-26-06-09-41,,
799,2024-03-26-06-12-44,,
